label,cityLabel,performer
My Cup of Tea,My Cup of Tea,http://www.wikidata.org/entity/Q698567
看我72變,Magic,http://www.wikidata.org/entity/Q51101
Something About You,Something About You,http://www.wikidata.org/entity/Q2246720
Glow (容祖兒專輯),Glow,http://www.wikidata.org/entity/Q2246720
Di-Dar,Di-Dar,http://www.wikidata.org/entity/Q464650
Free love,free {love},http://www.wikidata.org/entity/Q3269718
Sammi,Lost Memory,http://www.wikidata.org/entity/Q701039
Listen To Eason Chan,Q10851441,http://www.wikidata.org/entity/Q704041
Shall We Dance? Shall We Talk!,Q10852541,http://www.wikidata.org/entity/Q704041
Led Zeppelin IV,Led Zeppelin IV,http://www.wikidata.org/entity/Q2331
Moment (容祖兒專輯),Q10851705,http://www.wikidata.org/entity/Q2246720
J-POP,J-Pop,http://www.wikidata.org/entity/Q2246720
Holiday,Holiday,http://www.wikidata.org/entity/Q701039
顫慄,Thriller,http://www.wikidata.org/entity/Q2831
Lucky Number,Lucky Number,http://www.wikidata.org/entity/Q51101
Give Love A Break,Give Love a Break,http://www.wikidata.org/entity/Q2246720
No Name,No Name,http://www.wikidata.org/entity/Q9079113
改變,Reform,http://www.wikidata.org/entity/Q51169
Nothing Really Matters,Q10851934,http://www.wikidata.org/entity/Q704041
Virgin Snow,Virgin Snow,http://www.wikidata.org/entity/Q313596
我的快樂時代,Q11074927,http://www.wikidata.org/entity/Q704041
故事的感覺,Q11079013,http://www.wikidata.org/entity/Q711092
Make it Happen,Make it Happen,http://www.wikidata.org/entity/Q10846741
壞孩子①,Warugaki 1,http://www.wikidata.org/entity/Q583214
抉擇,Q11076402,http://www.wikidata.org/entity/Q717829
誰來愛我,Who Will Love Me,http://www.wikidata.org/entity/Q2246720
Nin9 2 5ive,Nin9 2 5ive,http://www.wikidata.org/entity/Q2246720
A Love Supreme,A Love Supreme,http://www.wikidata.org/entity/Q7346
特務J,Agent J,http://www.wikidata.org/entity/Q51101
小小,Little Little,http://www.wikidata.org/entity/Q2246720
新生活,Q11083366,http://www.wikidata.org/entity/Q704041
HOT SUMMER (張國榮),Hot Summer,http://www.wikidata.org/entity/Q313596
SET LIST～Greatest Songs 2006-2007～,Set List: Greatest Songs 2006–2007,http://www.wikidata.org/entity/Q51118
梦里人 (音乐专辑),Q11115653,http://www.wikidata.org/entity/Q718123
18...,18...,http://www.wikidata.org/entity/Q665090
Shocking Pink,Shocking Pink,http://www.wikidata.org/entity/Q701039
樂譜 - 史詩之旅,The Score – An Epic Journey,http://www.wikidata.org/entity/Q76244
am/pm,am/pm,http://www.wikidata.org/entity/Q709800
J-game,J-game,http://www.wikidata.org/entity/Q51101
"Reise, Reise","Reise, Reise",http://www.wikidata.org/entity/Q25177
1830m,1830m,http://www.wikidata.org/entity/Q51118
Elodia,Elodia,http://www.wikidata.org/entity/Q625529
說謊,Q15927094,http://www.wikidata.org/entity/Q718136
鄭秀文的快樂迷宮,Happy Maze,http://www.wikidata.org/entity/Q701039
猶豫,Q15928664,http://www.wikidata.org/entity/Q853266
1019,1019,http://www.wikidata.org/entity/Q51101
遊音俱樂部～1st Grade～,Yūon Club: 1st Grade,http://www.wikidata.org/entity/Q239348
Giant Steps,Giant Steps,http://www.wikidata.org/entity/Q7346
Stand Up,Stand Up,http://www.wikidata.org/entity/Q313596
光芒,Ray of Light,http://www.wikidata.org/entity/Q713998
A Time For Us,A Time for Us,http://www.wikidata.org/entity/Q2246720
La La La,La La La,http://www.wikidata.org/entity/Q701039
花言巧語,Fa Yin Haau Yu,http://www.wikidata.org/entity/Q837539
...3mm,...3mm,http://www.wikidata.org/entity/Q704041
Beyond IV,Beyond IV,http://www.wikidata.org/entity/Q853266
Bi-Heart,Bi-Heart,http://www.wikidata.org/entity/Q2246720
I like Dreaming,I like Dreaming,http://www.wikidata.org/entity/Q313596
Pink Dahlia,Pink Dahlia,http://www.wikidata.org/entity/Q709800
Joey & Joey,Joey & Joey,http://www.wikidata.org/entity/Q2246720
Leave,Leave,http://www.wikidata.org/entity/Q51157
隆重登場,Solemn on Stage,http://www.wikidata.org/entity/Q2246720
一生何求,Yat sang ho kau,http://www.wikidata.org/entity/Q718123
樂與怒,Rock and Roll,http://www.wikidata.org/entity/Q853266
月之暗面,The Dark Side of the Moon,http://www.wikidata.org/entity/Q2306
第一次個人創作專輯,Michael's First Album,http://www.wikidata.org/entity/Q713998
In Motion (容祖兒專輯),In Motion,http://www.wikidata.org/entity/Q2246720
十誡,Ten Commandments,http://www.wikidata.org/entity/Q701039
Myself,Myself,http://www.wikidata.org/entity/Q51101
Ray of Light,Ray of Light,http://www.wikidata.org/entity/Q1744
再見理想,Q7256711,http://www.wikidata.org/entity/Q853266
無法遺忘,All That You Can't Leave Behind,http://www.wikidata.org/entity/Q396
五级,Sex,http://www.wikidata.org/entity/Q1531070
降落傘,Parachutes,http://www.wikidata.org/entity/Q45188
比伯軍曹寂寞芳心俱樂部,Sgt. Pepper's Lonely Hearts Club Band,http://www.wikidata.org/entity/Q1299
21,21,http://www.wikidata.org/entity/Q23215
Madonna,Madonna,http://www.wikidata.org/entity/Q1744
True Blue,True Blue,http://www.wikidata.org/entity/Q1744
Kind of Blue,Kind of Blue,http://www.wikidata.org/entity/Q93341
Urban Emotions,Urban Emotions,http://www.wikidata.org/entity/Q709800
Music,Music,http://www.wikidata.org/entity/Q1744
舞池上的自白,Confessions on a Dance Floor,http://www.wikidata.org/entity/Q1744
Graduation,Graduation,http://www.wikidata.org/entity/Q15935
Good Time,Good Time,http://www.wikidata.org/entity/Q853266
? (專輯),Q10846270,http://www.wikidata.org/entity/Q704041
Live For Today,Q10851445,http://www.wikidata.org/entity/Q704041
Solidays,Solidays,http://www.wikidata.org/entity/Q704041
絕對可能,Definitely Maybe,http://www.wikidata.org/entity/Q382890
直覺,Q15928451,http://www.wikidata.org/entity/Q718136
Never Too Late,Never Too Late,http://www.wikidata.org/entity/Q701039
15,15,http://www.wikidata.org/entity/Q2404590
紅,Red,http://www.wikidata.org/entity/Q313596
超时空记忆体,Random Access Memories,http://www.wikidata.org/entity/Q185828
渴望,Sehnsucht,http://www.wikidata.org/entity/Q25177
MySecret,MySecret,http://www.wikidata.org/entity/Q665090
愛火,Q11073793,http://www.wikidata.org/entity/Q313596
愛自己,Q11073876,http://www.wikidata.org/entity/Q714449
擁有,Q11078628,http://www.wikidata.org/entity/Q718136
有了你,Q11092049,http://www.wikidata.org/entity/Q718123
童話,Fairy Tale,http://www.wikidata.org/entity/Q713998
Close Up (容祖兒專輯),Close Up,http://www.wikidata.org/entity/Q2246720
約定,Yue Ding: Commitment,http://www.wikidata.org/entity/Q713998
Imagine,Imagine,http://www.wikidata.org/entity/Q710503
宇宙編年史,Design Your Universe,http://www.wikidata.org/entity/Q76244
Muse,Muse,http://www.wikidata.org/entity/Q51101
Love In L.A.,Love In L.A.,http://www.wikidata.org/entity/Q718123
Stranger Under My Skin,Stranger Under My Skin,http://www.wikidata.org/entity/Q704041
深愛著你,Q11153239,http://www.wikidata.org/entity/Q718123
黑·白·灰,Q11178876,http://www.wikidata.org/entity/Q704041
WAY OF GLORY,WAY OF GLORY,http://www.wikidata.org/entity/Q280732
Becoming Sammi,Becoming Sammi,http://www.wikidata.org/entity/Q701039
其後,After,http://www.wikidata.org/entity/Q701039
No. Eleven,No. Eleven,http://www.wikidata.org/entity/Q709800
Salute,Salute,http://www.wikidata.org/entity/Q313596
Sammi VS Sammi,Sammi vs Sammi,http://www.wikidata.org/entity/Q701039
花蝴蝶,Butterfly,http://www.wikidata.org/entity/Q51101
繼續革命,Continue the Revolution,http://www.wikidata.org/entity/Q853266
"68'29""",Q10846161,http://www.wikidata.org/entity/Q704041
H³M,Q10850960,http://www.wikidata.org/entity/Q704041
Life Continues...,Q10851425,http://www.wikidata.org/entity/Q704041
個人主義,Q11386985,http://www.wikidata.org/entity/Q1065624
完美陰謀,The Divine Conspiracy,http://www.wikidata.org/entity/Q76244
Leslie,Leslie,http://www.wikidata.org/entity/Q313596
變化 Change？,Change,http://www.wikidata.org/entity/Q5263038
了不起的M小姐,The Divine Miss M,http://www.wikidata.org/entity/Q190631
Show Up!,Show Up!,http://www.wikidata.org/entity/Q2246720
感情·生活,Love & Living,http://www.wikidata.org/entity/Q709800
Sammi,Sammi,http://www.wikidata.org/entity/Q701039
Like a Prayer,Like a Prayer,http://www.wikidata.org/entity/Q1744
全身暑假,All Summer Holiday,http://www.wikidata.org/entity/Q2246720
Sound,Sound,http://www.wikidata.org/entity/Q853266
Breezing,Breezing,http://www.wikidata.org/entity/Q8265357
陳慧嫻,Priscilla,http://www.wikidata.org/entity/Q711092
妮裳馬戲團,Circus,http://www.wikidata.org/entity/Q11975
Taste the Atmosphere,Q10852971,http://www.wikidata.org/entity/Q704041
Summer Romance,Summer Romance,http://www.wikidata.org/entity/Q313596
愛的根源,Q11073829,http://www.wikidata.org/entity/Q714449
物換星移,Consign to Oblivion,http://www.wikidata.org/entity/Q76244
Love Is...,Love Is...,http://www.wikidata.org/entity/Q701039
Update,Update,http://www.wikidata.org/entity/Q51169
Stefanie,Stefanie,http://www.wikidata.org/entity/Q51157
我的驕傲,My Pride,http://www.wikidata.org/entity/Q2246720
無法歸類,Unclassified,http://www.wikidata.org/entity/Q5263038
Feel So Good,Feel So Good,http://www.wikidata.org/entity/Q701039
Jump Up,Jump Up – 9492,http://www.wikidata.org/entity/Q2246720
宛如处女,Like a Virgin,http://www.wikidata.org/entity/Q1744
打得火熱,Q11075919,http://www.wikidata.org/entity/Q704041
春·夏·秋·冬,Q11088724,http://www.wikidata.org/entity/Q709800
Day Dreamin',Day Dreamin',http://www.wikidata.org/entity/Q313596
冷漠安魂曲,Requiem for the Indifferent,http://www.wikidata.org/entity/Q76244
Break it down,Break it down,http://www.wikidata.org/entity/Q10852656
Amour,Amour,http://www.wikidata.org/entity/Q706192
Endless Dream,Endless Dream,http://www.wikidata.org/entity/Q2673694
Welcome Back,Welcome Back,http://www.wikidata.org/entity/Q711092
Endless Dream,Endless Dream,http://www.wikidata.org/entity/Q16603355
一個人的情歌,Q10863817,http://www.wikidata.org/entity/Q2246720
二樓後座,Q10880241,http://www.wikidata.org/entity/Q853266
五星級的家,Q10881849,http://www.wikidata.org/entity/Q704041
Life Is Beautiful,Life Is Beautiful,http://www.wikidata.org/entity/Q10942789
一滴眼淚,Q19851574,http://www.wikidata.org/entity/Q704041
亞拉伯跳舞女郎,Q10882749,http://www.wikidata.org/entity/Q853266
你聽到,Q10886918,http://www.wikidata.org/entity/Q283110
冬暖,Q10895218,http://www.wikidata.org/entity/Q718123
婚禮的祝福,Q10943962,http://www.wikidata.org/entity/Q704041
克卜勒 (孫燕姿專輯),Kepler,http://www.wikidata.org/entity/Q51157
Ten Most Wanted,Ten Most Wanted,http://www.wikidata.org/entity/Q2246720
Show Your Love,Show Your Love,http://www.wikidata.org/entity/Q51101
第七感,The Seventh Sense,http://www.wikidata.org/entity/Q51169
似曾相識,Q10885739,http://www.wikidata.org/entity/Q698567
U87,Q10853108,http://www.wikidata.org/entity/Q704041
七 (音樂專輯),Q10864448,http://www.wikidata.org/entity/Q704041
上五樓的快活,Q10867185,http://www.wikidata.org/entity/Q704041
世外桃源 (譚詠麟專輯),Q10869029,http://www.wikidata.org/entity/Q714449
不见不散 (专辑),Q10868949,http://www.wikidata.org/entity/Q853266
"〜refrain〜 The songs were inspired by ""EVANGELION""","〜refrain〜 The songs were inspired by ""EVANGELION""",http://www.wikidata.org/entity/Q679797
幾分鐘的約會,Q11061628,http://www.wikidata.org/entity/Q718123
呸,Play,http://www.wikidata.org/entity/Q51101
只因愛你,Q10913673,http://www.wikidata.org/entity/Q718123
天佑愛人,Q10939084,http://www.wikidata.org/entity/Q704041
Morph,Morph,http://www.wikidata.org/entity/Q709800
這裡是羅德斯島、在這裡跳吧！,"Koko ga Rhodes da, Koko de Tobe!",http://www.wikidata.org/entity/Q51118
壞魔法,Bad Magic,http://www.wikidata.org/entity/Q19697
E11,E11,http://www.wikidata.org/entity/Q710503
罪人,Sinner,http://www.wikidata.org/entity/Q698567
Today Special,Today Special,http://www.wikidata.org/entity/Q698567
青春大爆炸,Bangerz,http://www.wikidata.org/entity/Q4235
②Smile Sensation,2 Smile Sensation,http://www.wikidata.org/entity/Q583214
3.1415,3.1415,http://www.wikidata.org/entity/Q702539
現代舞台,Q15956688,http://www.wikidata.org/entity/Q853266
神仙也移民,Q15931701,http://www.wikidata.org/entity/Q718123
陳奕迅 (專輯),Q15931870,http://www.wikidata.org/entity/Q704041
陳百強精選,Q15942820,http://www.wikidata.org/entity/Q718123
復克,Q15916978,http://www.wikidata.org/entity/Q698567
眼淚為你流,Q15914976,http://www.wikidata.org/entity/Q718123
Tales,Q15914735,http://www.wikidata.org/entity/Q6162197
危险女人,Dangerous Woman,http://www.wikidata.org/entity/Q151892
酷愛,Ardently Love,http://www.wikidata.org/entity/Q709800
樟樹 (福山雅治歌曲),Human,http://www.wikidata.org/entity/Q1141809
Breakout,Breakout,http://www.wikidata.org/entity/Q3271032
1 (莎拉·拉爾森專輯),1,http://www.wikidata.org/entity/Q4177928
Smile,Smile,http://www.wikidata.org/entity/Q313013
4 A Change & Hits,Q20062386,http://www.wikidata.org/entity/Q704041
百強84,Q15936136,http://www.wikidata.org/entity/Q718123
Xposed,Xposed,http://www.wikidata.org/entity/Q665090
未來軌跡,Tsugi no Ashiato,http://www.wikidata.org/entity/Q51118
Boys Meet U,Boys Meet U,http://www.wikidata.org/entity/Q269836
Ladies First,Ladies First,http://www.wikidata.org/entity/Q701039
Don't Stop,Don't Stop,http://www.wikidata.org/entity/Q51101
在森林和原野,Amongst the Forest,http://www.wikidata.org/entity/Q698567
李克勤大派對,Let's Celebrate,http://www.wikidata.org/entity/Q698567
13 Voices,13 Voices,http://www.wikidata.org/entity/Q483558
One Day,One Day,http://www.wikidata.org/entity/Q384024
℃maj9,°Cmaj9,http://www.wikidata.org/entity/Q718273
難忘之火,The Unforgettable Fire,http://www.wikidata.org/entity/Q396
FUN-FARE,Fun-Fare,http://www.wikidata.org/entity/Q1137848
I Love You OK?,I Love You OK?,http://www.wikidata.org/entity/Q16836
痴心眼內藏,Q15932977,http://www.wikidata.org/entity/Q718123
真的見證,Q15934991,http://www.wikidata.org/entity/Q853266
第一张,Q15929838,http://www.wikidata.org/entity/Q493196
紅日,Q15916224,http://www.wikidata.org/entity/Q698567
笑忘書,Q15911905,http://www.wikidata.org/entity/Q709800
驚喜 (專輯),Q15953343,http://www.wikidata.org/entity/Q853266
音浪強襲 第1輯,Funk Wav Bounces Vol. 1,http://www.wikidata.org/entity/Q81637
心叛逆,Rebel Heart,http://www.wikidata.org/entity/Q1744
全息主義,The Holographic Principle,http://www.wikidata.org/entity/Q76244
愛情故事,Q11073737,http://www.wikidata.org/entity/Q714449
24小時,24 Hrs,http://www.wikidata.org/entity/Q552770
HIM,HIM,http://www.wikidata.org/entity/Q2673694
By Heart,By Heart,http://www.wikidata.org/entity/Q711092
像霧像雨又像風,Q18579510,http://www.wikidata.org/entity/Q9298134
與我常在,Q16689371,http://www.wikidata.org/entity/Q704041
秘密警察,Q16689551,http://www.wikidata.org/entity/Q853266
Keep Going,Keep Going,http://www.wikidata.org/entity/Q6130604
Love & Letter,Love&Letter,http://www.wikidata.org/entity/Q14524548
The First Eleven Years 然後呢 - 1997-2007陳奕迅跨世紀國語精選,Q10852999,http://www.wikidata.org/entity/Q704041
What's Going On...?,Q10853295,http://www.wikidata.org/entity/Q704041
傾訴,Q10889334,http://www.wikidata.org/entity/Q718123
Revival,Revival,http://www.wikidata.org/entity/Q83287
The Key,Q15900483,http://www.wikidata.org/entity/Q704041
無聲勝有聲,Q15956605,http://www.wikidata.org/entity/Q718123
當我想起你,Q15955631,http://www.wikidata.org/entity/Q718123
突破精選,Q15934830,http://www.wikidata.org/entity/Q718123
等待您,Q15939348,http://www.wikidata.org/entity/Q718123
獨照,Q15912619,http://www.wikidata.org/entity/Q2246720
親愛的您,Q15930924,http://www.wikidata.org/entity/Q718123
認了吧,Q15911068,http://www.wikidata.org/entity/Q704041
反叛,Q10912671,http://www.wikidata.org/entity/Q711092
命運派對,Q10921311,http://www.wikidata.org/entity/Q853266
大地,Q10934376,http://www.wikidata.org/entity/Q853266
4 Seasons in One Day,4 Seasons in One Day,http://www.wikidata.org/entity/Q837539
放克特區,Uptown Special,http://www.wikidata.org/entity/Q425821
怎麼樣,Q11072506,http://www.wikidata.org/entity/Q704041
準備中,Q20688744,http://www.wikidata.org/entity/Q704041
Wonder Woman,Wonder Woman,http://www.wikidata.org/entity/Q701039
2012 To Begin From The End,2012 To Begin From The End,http://www.wikidata.org/entity/Q10846741
珍愛,All for You,http://www.wikidata.org/entity/Q131324
1989,1989,http://www.wikidata.org/entity/Q26876
美麗謊言 (柏蒂專輯),Beautiful Lies,http://www.wikidata.org/entity/Q288525
說真的,Honestly,http://www.wikidata.org/entity/Q2246720
The Easy Ride,Q10852998,http://www.wikidata.org/entity/Q704041
一生想您,Q10864012,http://www.wikidata.org/entity/Q698567
不再流淚,Q10868824,http://www.wikidata.org/entity/Q718123
量子之謎,The Quantum Enigma,http://www.wikidata.org/entity/Q76244
反正是我,Q10912726,http://www.wikidata.org/entity/Q704041
各師各法,Q10916728,http://www.wikidata.org/entity/Q717829
Blooming,Blooming,http://www.wikidata.org/entity/Q714444
聲音,Q15929438,http://www.wikidata.org/entity/Q16766
醞釀,Q17163591,http://www.wikidata.org/entity/Q704041
很忙,Very Busy,http://www.wikidata.org/entity/Q2246720
IF,If,http://www.wikidata.org/entity/Q16836
走路有風,Q16689453,http://www.wikidata.org/entity/Q709162
請將手放開,Q16689431,http://www.wikidata.org/entity/Q853266
Alan 柯有倫,Q18642173,http://www.wikidata.org/entity/Q384024
Rice & Shine,Rice & Shine,http://www.wikidata.org/entity/Q704041
偏偏喜歡你,Just Loving You,http://www.wikidata.org/entity/Q718123
粉紅藍圖,The Pink Print,http://www.wikidata.org/entity/Q162202
舞孃,Dancing Diva,http://www.wikidata.org/entity/Q51101
凝望,Q10896013,http://www.wikidata.org/entity/Q718123
Fantastic Girls (KARA专辑),Fantastic Girls,http://www.wikidata.org/entity/Q124459
魅影幻象,The Phantom Agony,http://www.wikidata.org/entity/Q76244
一千零一夜,Q15923870,http://www.wikidata.org/entity/Q698567
A Long & Lasting Love,A Long & Lasting Love,http://www.wikidata.org/entity/Q2673694
小日子 (專輯),Little Day,http://www.wikidata.org/entity/Q2246720
Cantopopsibility,Cantopopsibility,http://www.wikidata.org/entity/Q10846741
小田日和,Q17228009,http://www.wikidata.org/entity/Q1065624
唐朝 (专辑),Q10922825,http://www.wikidata.org/entity/Q1104597
Smart I.D.,Smart I.D.,http://www.wikidata.org/entity/Q698567
我的全部,My Everything,http://www.wikidata.org/entity/Q151892
Welcome to My World,Welcome to My World,http://www.wikidata.org/entity/Q384024
The Line Up,The Line-Up,http://www.wikidata.org/entity/Q704041
Threesome,Threesome,http://www.wikidata.org/entity/Q698567
Amazing,Amazing,http://www.wikidata.org/entity/Q8973541
城堡,Castle,http://www.wikidata.org/entity/Q51101
傲視,Views From The 6,http://www.wikidata.org/entity/Q33240
單手拍掌,Q19681854,http://www.wikidata.org/entity/Q717829
Ever Last,Ever Last,http://www.wikidata.org/entity/Q698567
