label,cityLabel,countryLabel
提比里斯動物園,Tbilisi Zoo,Georgia
朝鮮中央動物園,Korea Central Zoo,North Korea
底特律動物園,Detroit Zoo,United States of America
波塔瓦托米動物園,Potawatomi Zoo,United States of America
雅丹納邦動物園,Yadanabon Zoological Gardens,Myanmar
西宁动物园,Xining Zoo,People's Republic of China
拉古南動物園,Ragunan Zoo,Indonesia
新加坡動物園,Singapore Zoo,Singapore
美泉宮動物園,Tiergarten Schönbrunn,Austria
京都市動物園,Kyoto Municipal Zoo,Japan
霍格尔动物园,Hogle Zoo,United States of America
深圳野生动物园,Shenzhen Safari Park,People's Republic of China
马来西亚国家动物园,National Zoo of Malaysia,Malaysia
舊金山動物園,San Francisco Zoo,United States of America
葉里溫動物園,Yerevan Zoo,Armenia
巴黎动物园,Paris Zoological Park,France
艾爾艾林野生動物園,Al Areen Wildlife Park,Bahrain
鴕鳥王國,Q11317162,Japan
聖地牙哥野生動物園,San Diego Wild Animal Park,United States of America
辛辛那堤動物和植物園,Cincinnati Zoo and Botanical Garden,United States of America
澳洲动物园,Australia Zoo,Australia
宁波雅戈尔动物园,Ningbo Youngor Zoo,People's Republic of China
澤西動物園,Durrell Wildlife Park,Jersey
夏威夷海洋生物公園,Sea Life Park Hawaii,United States of America
国家水族馆巴尔的摩分馆,National Aquarium in Baltimore,United States of America
富士野生動物園,Q11455860,Japan
香港動植物公園,Hong Kong Zoological and Botanical Gardens,People's Republic of China
天王寺動物園,Tennōji Zoo,Japan
律實動物園,Dusit Zoo,Thailand
休斯敦動物園,Houston Zoo,United States of America
杭州动物园,Hangzhou Zoo,People's Republic of China
武汉动物园,Wuhan Zoo,People's Republic of China
植物園附設動物園,Ménagerie du Jardin des Plantes,France
帶廣動物園,Obihiro Zoo,Japan
布隆克斯動物園,Bronx Zoo,United States of America
六旗發現王國樂園,Six Flags Discovery Kingdom,United States of America
天津动物园,Tianjin Zoo,People's Republic of China
札幌市圓山動物園,Sapporo Maruyama Zoo,Japan
尤德觀鳥園,Edward Youde Aviary,People's Republic of China
圣地亚哥动物园,San Diego Zoo,United States of America
奧爾堡動物園,Aalborg Zoo,Denmark
伦敦动物园,London Zoo,United Kingdom
奧杜邦動物園,Audubon Zoo,United States of America
沙法里野生動物園,Safari World,Thailand
新加坡海底世界,"Underwater World, Singapore",Singapore
北狐牧場,Q11400772,Japan
威基基水族館,Waikiki Aquarium,United States of America
新英格蘭水族館,New England Aquarium,United States of America
莫斯科動物園,Moscow Zoo,Russia
耶路撒冷圣经动物园,Jerusalem Biblical Zoo,Israel
東京動物園協會,Q11524564,Japan
神戶市立王子動物園,Kobe Oji Zoo,Japan
愛丁堡動物園,Edinburgh Zoo,United Kingdom
斯堪森博物館,Skansen,Sweden
多倫多動物園,Toronto Zoo,Canada
布達佩斯動物園和植物園,Budapest Zoo & Botanical Garden,Hungary
溫比思奈得野生動物園,Whipsnade Zoo,United Kingdom
佩里代扎,Pairi Daiza,Belgium
上海野生动物园,Shanghai Wild Animal Park,People's Republic of China
赫爾辛基動物園,Helsinki Zoo,Finland
阿蘇卡德利動物樂園,Aso Cuddly Dominion,Japan
清邁動物園,Chiang Mai Zoo,Thailand
列寧格勒動物園,Leningrad Zoo,Russia
約翰內斯堡動物園,Johannesburg Zoo,South Africa
广州动物园,Guangzhou Zoo,People's Republic of China
重庆动物园,Chongqing Zoo,People's Republic of China
巴拉瑞特野生動物園,Ballarat Wildlife Park,Australia
橫濱市立金澤動物園,Q11543159,Japan
江戶川區自然動物園,Q11551063,Japan
汉密尔顿动物园,Hamilton Zoo,New Zealand
帕奈瓦熱帶雨林動物園,Pana'ewa Rainforest Zoo,United States of America
奧蘭多海上世界,SeaWorld Orlando,United States of America
費城動物學會,Philadelphia Zoo,United States of America
諾登斯阿克,Nordens Ark,Sweden
内比都动物园,Naypyidaw Zoological Gardens,Myanmar
哈勒姆阿蒂斯克拉斯,Artisklas Haarlem,Netherlands
上海动物园,Shanghai Zoo,People's Republic of China
檀香山動物園,Honolulu Zoo,United States of America
索林根動物園,Tierpark Fauna,Germany
町田松鼠園,Q11578268,Japan
展望公園動物園,Prospect Park Zoo,United States of America
林肯公園動物園,Lincoln Park Zoo,United States of America
市原象之國,Q11480016,Japan
哈伍德宮,Harewood House,United Kingdom
中央公園動物園,Central Park Zoo,United States of America
墨爾本動物園,Melbourne Zoo,Australia
北京野生动物园,Beijing Wildlife Park,People's Republic of China
旭川市旭山動物園,Asahiyama Zoo,Japan
樂壽園,Q11541603,Japan
臺北市立動物園,Taipei Zoo,Taiwan
哥本哈根動物園,Copenhagen Zoo,Denmark
法兰克福动物园,Frankfurt Zoological Garden,Germany
海德堡动物园,Heidelberg Zoo,Germany
基輔動物園,Kiev Zoo,Ukraine
吉夫斯庫動物園,Givskud Zoo,Denmark
朗利特野生動物園,Longleat Safari Park,United Kingdom
塞奇威克縣動物園,Sedgwick County Zoo,United States of America
裕廊飛禽公園,Jurong Bird Park,Singapore
北京动物园,Beijing Zoo,People's Republic of China
布拉格動物園,Prague Zoo,Czech Republic
柏林動物園,Berlin Zoological Garden,Germany
长沙生态动物园,Q15926958,People's Republic of China
布魯克菲爾德動物園,Brookfield Zoo,United States of America
亞特蘭大動物園,Zoo Atlanta,United States of America
巴庫動物園,Baku Zoo,Azerbaijan
龍柏無尾熊動物園,Lone Pine Koala Sanctuary,Australia
伯明翰自然中心,Birmingham Wildlife Conservation Park,United Kingdom
塔朗加動物園,Taronga Zoo,Australia
美國國際響尾蛇博物館,American International Rattlesnake Museum,United States of America
海洋生物園,Marine Life Park,Singapore
格洛德韋恩互動動物園,GW Exotic Animal Foundation,United States of America
喬治亞水族館,Georgia Aquarium,United States of America
盧布爾雅那動物園,Ljubljana Zoo,Slovenia
艾因動物園,Al Ain Zoo,United Arab Emirates
史密森國立動物園,National Zoological Park,United States of America
阿提斯,Artis,Netherlands
邁索爾動物園,Mysore Zoo,India
中文名？,Oregon Coast Aquarium,United States of America
巴爾的摩動物園,The Maryland Zoo,United States of America
斯科納斯動物園,Skånes Djurpark,Sweden
是拉差龍虎園,Sriracha Tiger Zoo,Thailand
北卡罗莱纳植物园,North Carolina Botanical Garden,United States of America
海拉布伦动物园,Hellabrunn Zoo,Germany
釧路市丹頂鶴自然公園,Japan Crane Reserve,Japan
上野动物园,Ueno Zoo,Japan
安特卫普动物园,Antwerp Zoo,Belgium
